"","dt","Value","percent_change_last_update","Item","url"
"78",2021-06-01,84.3448337678635,-0.00425574986312585,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"79",2021-07-01,84.8545785447332,0.00604358031308324,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"80",2021-08-01,86.2177950810408,0.0160653268177978,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"81",2021-09-01,89.089591151953,0.0333086234484753,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"82",2021-10-01,89.4820322760416,0.00440501655708811,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"83",2021-11-01,87.8358840057834,-0.0183964113061277,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"84",2021-12-01,91.0194505824263,0.036244487235232,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"85",2022-01-01,92.8394109096294,0.0199952901886064,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"86",2022-02-01,94.8425364089494,0.0215762409486831,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"87",2022-03-01,96.6106648895748,0.0186427793643291,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"88",2022-04-01,106.572511973936,0.103113327040524,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"89",2022-05-01,111.949384058395,0.0504527104116083,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"90",2022-06-01,112.279860794469,0.00295201924382341,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"91",2022-07-01,117.114641912089,0.0430600918402411,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"92",2022-08-01,120.492675341681,0.0288438181122407,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"93",2022-09-01,116.220250273774,-0.03545796502395,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"94",2022-10-01,127.990756004505,0.101277580309838,"Eggs","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFH"
"95",2015-01-01,100,NA,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"96",2015-02-01,96.6989513403847,-0.033010486596153,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"97",2015-03-01,96.54517377511,-0.00159027128157165,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"98",2015-04-01,95.3395059734185,-0.0124881208925056,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
